Parameter,Row index,Col index,Well specified value,Misspecified value,run_ID,n,m,K,s,nu
Pi,1,1,0.5,0.5,1,100001,2,100,1,1
Pi,2,1,0.5,0.5,1,100001,2,100,1,1
pp,1,1,0.999,0.999,1,100001,2,100,1,1
pp,2,1,0.001,0.001,1,100001,2,100,1,1
pp,1,2,0.001,0.001,1,100001,2,100,1,1
pp,2,2,0.999,0.999,1,100001,2,100,1,1
s,1,1,1,1,1,100001,2,100,1,1
Pi,1,1,0.5,0.5,2,100001,2,500,1,1
Pi,2,1,0.5,0.5,2,100001,2,500,1,1
pp,1,1,0.995,0.995,2,100001,2,500,1,1
pp,2,1,0.005,0.005,2,100001,2,500,1,1
pp,1,2,0.005,0.005,2,100001,2,500,1,1
pp,2,2,0.995,0.995,2,100001,2,500,1,1
s,1,1,1,1,2,100001,2,500,1,1
Pi,1,1,0.5,0.5,3,100001,2,20,1,1
Pi,2,1,0.5,0.5,3,100001,2,20,1,1
pp,1,1,0.9998,0.9998,3,100001,2,20,1,1
pp,2,1,2e-4,2e-4,3,100001,2,20,1,1
pp,1,2,2e-4,2e-4,3,100001,2,20,1,1
pp,2,2,0.9998,0.9998,3,100001,2,20,1,1
s,1,1,1,1,3,100001,2,20,1,1
Pi,1,1,0.5,0.5,4,100001,2,500,1,1
Pi,2,1,0.5,0.5,4,100001,2,500,1,1
pp,1,1,0.995,0.995,4,100001,2,500,1,1
pp,2,1,0.005,0.005,4,100001,2,500,1,1
pp,1,2,0.005,0.005,4,100001,2,500,1,1
pp,2,2,0.995,0.995,4,100001,2,500,1,1
s,1,1,1,1,4,100001,2,500,1,1
Pi,1,1,0.5,0.5,5,100001,2,2,1,1
Pi,2,1,0.5,0.5,5,100001,2,2,1,1
pp,1,1,0.99998,0.99998,5,100001,2,2,1,1
pp,2,1,2e-5,2e-5,5,100001,2,2,1,1
pp,1,2,2e-5,2e-5,5,100001,2,2,1,1
pp,2,2,0.99998,0.99998,5,100001,2,2,1,1
s,1,1,1,1,5,100001,2,2,1,1
Pi,1,1,0.5,0.5,6,100001,2,2000,1,1
Pi,2,1,0.5,0.5,6,100001,2,2000,1,1
pp,1,1,0.98,0.98,6,100001,2,2000,1,1
pp,2,1,0.02,0.02,6,100001,2,2000,1,1
pp,1,2,0.02,0.02,6,100001,2,2000,1,1
pp,2,2,0.98,0.98,6,100001,2,2000,1,1
s,1,1,1,1,6,100001,2,2000,1,1
Pi,1,1,0.5,0.5,7,100001,2,1,1,1
Pi,2,1,0.5,0.5,7,100001,2,1,1,1
pp,1,1,0.99999,0.99999,7,100001,2,1,1,1
pp,2,1,1e-5,1e-5,7,100001,2,1,1,1
pp,1,2,1e-5,1e-5,7,100001,2,1,1,1
pp,2,2,0.99999,0.99999,7,100001,2,1,1,1
s,1,1,1,1,7,100001,2,1,1,1
Pi,1,1,0.5,0.5,8,100001,2,5,1,1
